trip_distance,passenger_count,avg(fare_amount)
0.99,1.0,6.903485782196198
0.99,2.0,6.879514689365727
0.99,3.0,6.88747301464919
0.99,4.0,6.874351211072664
0.99,5.0,6.8343362831858405
0.99,6.0,6.812223946520234
1.0,1.0,7.059439469084984
1.0,2.0,7.142843268242549
1.0,3.0,7.224415839424021
1.0,4.0,7.349723614492339
1.0,5.0,6.931202331493768
1.0,6.0,6.939010416666667
1.0,7.0,5.5
1.0,9.0,10.5
1.01,1.0,7.005678466076697
1.01,2.0,6.988048388510651
1.01,3.0,6.946827061880473
1.01,4.0,6.967767515206127
1.01,5.0,6.925118687958567
1.01,6.0,6.958886911119023
1.02,1.0,7.025537678057421
1.02,2.0,7.035534105534105
1.02,3.0,7.020292747837658
1.02,4.0,7.085899653979239
1.02,5.0,6.947451411807847
1.02,6.0,6.968761114404268
1.03,1.0,7.074704044799784
1.03,2.0,7.08248139847602
1.03,3.0,7.0573381718320904
1.03,4.0,7.066629834254144
1.03,5.0,6.987994453364473
1.03,6.0,7.010319060609655
1.04,1.0,7.1108837190489345
1.04,2.0,7.098771730584433
1.04,3.0,7.0700058582308145
1.04,4.0,7.122243630914151
1.04,5.0,7.056767586821016
1.04,6.0,7.096437567470313
1.05,1.0,7.165375326081774
1.05,2.0,7.157710351405323
1.05,3.0,7.136492363709922
1.05,4.0,7.1408340767172165
1.05,5.0,7.098125929229854
1.05,6.0,7.072939068100358
1.06,1.0,7.189941942957414
1.06,2.0,7.202330445174783
1.06,3.0,7.167250175052516
1.06,4.0,7.240435270361229
1.06,5.0,7.134589995599237
1.06,6.0,7.151843289937949
1.07,1.0,7.25673113240058
1.07,2.0,7.245010819908632
1.07,3.0,7.19488188976378
1.07,4.0,7.184705342811282
1.07,5.0,7.14110610647567
1.07,6.0,7.206835194502393
1.08,1.0,7.282179691507918
1.08,2.0,7.2734487479843
1.08,3.0,7.270924236414121
1.08,4.0,7.250279329608938
1.08,5.0,7.213186249358645
1.08,6.0,7.205146880310755
1.09,1.0,7.342396133249878
1.09,2.0,7.294608452926363
1.09,3.0,7.2954957678355505
1.09,4.0,7.274861878453039
1.09,5.0,7.227517032551098
1.09,6.0,7.286630819992668
1.1,1.0,7.480051298738045
1.1,2.0,7.56795056403611
1.1,3.0,7.664299456450679
1.1,4.0,7.756860013784597
1.1,5.0,7.343547581493165
1.1,6.0,7.293280230941944
1.1,7.0,7.25
1.1,9.0,6.5
1.11,1.0,7.412844510464765
1.11,2.0,7.391929127797789
1.11,3.0,7.343094595944462
1.11,4.0,7.361964566046199
1.11,5.0,7.3234193789749344
1.11,6.0,7.324732653568764
1.12,1.0,7.451191037242571
1.12,2.0,7.425786854718075
1.12,3.0,7.432402234636871
1.12,4.0,7.4183791770857015
1.12,5.0,7.400985221674877
1.12,6.0,7.377061376317421
1.13,1.0,7.47953687773034
1.13,2.0,7.491749302425413
1.13,3.0,7.454384006494824
1.13,4.0,7.49988306828812
1.13,5.0,7.429728478864548
1.13,6.0,7.424430899365593
1.14,1.0,7.520925218554163
1.14,2.0,7.541036444333313
1.14,3.0,7.499485384932071
1.14,4.0,7.481239842117484
1.14,5.0,7.429514235285089
1.14,6.0,7.504668769716089
1.15,1.0,7.571693914008954
1.15,2.0,7.560609364777719
1.15,3.0,7.5120790254887915
1.15,4.0,7.588119499768411
1.15,5.0,7.49495576594754
1.15,6.0,7.526728573221233
1.15,9.0,8.0
1.16,1.0,7.615879596944997
1.16,2.0,7.598787972625646
1.16,3.0,7.591679675620882
1.16,4.0,7.594416126042632
1.16,5.0,7.534478764478765
1.16,6.0,7.522408786769347
1.17,1.0,7.661213906130737
1.17,2.0,7.631544772100979
1.17,3.0,7.6437806276717755
1.17,4.0,7.556011588604539
1.17,5.0,7.580178173719377
1.17,6.0,7.583151265904125
1.18,1.0,7.685681294812469
1.18,2.0,7.683593137408651
1.18,3.0,7.670746516947391
1.18,4.0,7.749418604651162
1.18,5.0,7.627090564846955
1.18,6.0,7.672133231629799
1.19,1.0,7.725400813976427
1.19,2.0,7.722407336887535
1.19,3.0,7.71689497716895
1.19,4.0,7.726968174204355
1.19,5.0,7.680438713735357
1.19,6.0,7.720636942675159
1.2,1.0,7.889829100076721
1.2,2.0,7.961015446485696
1.2,3.0,8.031497248712475
1.2,4.0,8.174013224630874
1.2,5.0,7.728400137033231
1.2,6.0,7.771825625648714
1.2,7.0,8.5
1.2,8.0,5.5
1.21,1.0,7.830987366776243
1.21,2.0,7.7857206778370145
1.21,3.0,7.8147461041026185
1.21,4.0,7.797170942220091
1.21,5.0,7.742235275185066
1.21,6.0,7.766560467277313
1.22,1.0,7.862596005572234
1.22,2.0,7.855364444882019
1.22,3.0,7.806372931379783
1.22,4.0,7.780308422301305
1.22,5.0,7.782173774157483
1.22,6.0,7.790322580645161
1.23,1.0,7.901096334787603
1.23,2.0,7.903635709143268
1.23,3.0,7.877708310876361
1.23,4.0,7.812361213915618
1.23,5.0,7.7852397342511805
1.23,6.0,7.839361266548383
1.24,1.0,7.947515035906643
1.24,2.0,7.927718492459038
1.24,3.0,7.863934250107435
1.24,4.0,7.888611044704756
1.24,5.0,7.850745046667758
1.24,6.0,7.913289789389496
1.25,1.0,7.975306561791599
1.25,2.0,7.944149361154214
1.25,3.0,7.954550402786849
1.25,4.0,7.937203495630462
1.25,5.0,7.880495962150257
1.25,6.0,7.98840379403794
1.26,1.0,8.01627397197824
1.26,2.0,8.007314959842704
1.26,3.0,7.996974111845792
1.26,4.0,7.989308176100629
1.26,5.0,7.950345849802371
1.26,6.0,7.915689250724438
